employee_id,review_date,performance_score,bonus_eligible
1,2019-12-08,1,True
2,2020-03-13,1,True
2,2021-03-13,5,False
2,2022-03-13,1,False
3,2025-01-28,2,True
4,2017-10-19,5,False
4,2018-10-19,2,True
4,2019-10-19,2,True
4,2020-10-18,2,False
5,2023-07-23,1,True
5,2024-07-22,4,True
6,2024-09-12,1,False
7,2022-02-20,1,True
7,2023-02-20,3,True
8,2020-05-06,4,True
8,2021-05-06,3,False
8,2022-05-06,3,True
8,2023-05-06,4,False
9,2019-03-01,3,False
10,2017-07-25,3,False
11,2017-04-29,5,False
11,2018-04-29,4,False
11,2019-04-29,3,True
11,2020-04-28,4,False
12,2021-02-15,3,False
12,2022-02-15,3,False
13,2018-03-29,3,False
13,2019-03-29,1,False
14,2022-10-16,4,False
14,2023-10-16,3,True
14,2024-10-15,3,True
15,2020-09-27,5,True
15,2021-09-27,3,False
15,2022-09-27,2,False
16,2023-05-15,2,False
16,2024-05-14,4,False
16,2025-05-14,5,False
17,2020-06-28,2,True
17,2021-06-28,4,False
18,2017-09-09,5,False
18,2018-09-09,1,False
18,2019-09-09,2,True
19,2020-10-09,5,True
19,2021-10-09,3,False
19,2022-10-09,2,False
19,2023-10-09,5,False
20,2025-04-18,3,True
21,2020-10-29,3,True
21,2021-10-29,3,True
21,2022-10-29,5,True
22,2020-05-08,4,False
22,2021-05-08,2,True
22,2022-05-08,1,False
23,2025-05-31,3,True
24,2017-03-25,5,True
24,2018-03-25,4,False
25,2016-12-31,4,True
25,2017-12-31,5,False
26,2023-07-24,3,True
26,2024-07-23,2,True
26,2025-07-23,1,False
27,2023-12-25,3,False
27,2024-12-24,1,False
28,2025-06-10,2,True
29,2019-07-18,3,True
29,2020-07-17,2,True
29,2021-07-17,3,True
30,2022-11-08,2,True
30,2023-11-08,2,False
30,2024-11-07,5,False
31,2024-10-06,2,False
32,2018-10-24,2,True
32,2019-10-24,1,True
32,2020-10-23,2,True
33,2019-08-10,5,True
33,2020-08-09,3,True
33,2021-08-09,4,False
34,2018-06-20,4,False
34,2019-06-20,2,False
35,2023-07-03,2,False
35,2024-07-02,1,True
35,2025-07-02,5,False
36,2022-02-26,2,True
36,2023-02-26,5,False
36,2024-02-26,3,False
36,2025-02-25,3,True
37,2020-03-08,4,True
37,2021-03-08,5,True
37,2022-03-08,5,True
38,2019-03-26,1,True
38,2020-03-25,4,False
38,2021-03-25,3,False
39,2016-12-03,2,False
39,2017-12-03,1,False
39,2018-12-03,2,False
40,2025-06-11,5,True
41,2024-09-25,4,True
42,2017-11-03,4,False
42,2018-11-03,4,True
43,2022-02-14,1,False
43,2023-02-14,4,False
44,2019-03-24,2,False
44,2020-03-23,3,True
44,2021-03-23,2,False
44,2022-03-23,1,False
45,2016-10-01,5,False
46,2021-09-02,2,True
46,2022-09-02,5,True
46,2023-09-02,4,True
46,2024-09-01,1,False
47,2018-03-28,1,True
47,2019-03-28,5,False
49,2020-03-30,4,True
49,2021-03-30,3,False
49,2022-03-30,1,False
49,2023-03-30,5,True
50,2024-10-24,4,False
52,2025-06-16,2,True
54,2020-03-13,5,True
54,2021-03-13,3,False
55,2018-12-17,3,True
56,2018-07-26,2,False
57,2020-01-16,4,False
57,2021-01-15,3,True
58,2024-07-11,5,True
58,2025-07-11,2,True
59,2018-06-28,3,True
59,2019-06-28,4,False
60,2020-04-20,4,False
60,2021-04-20,4,True
60,2022-04-20,5,True
61,2017-04-15,3,False
62,2024-07-05,3,False
63,2022-06-26,1,True
63,2023-06-26,3,True
64,2020-05-16,5,False
64,2021-05-16,2,True
64,2022-05-16,1,True
64,2023-05-16,5,False
65,2017-06-07,1,True
65,2018-06-07,3,True
65,2019-06-07,4,True
65,2020-06-06,5,True
66,2018-12-20,5,True
66,2019-12-20,4,False
66,2020-12-19,1,False
66,2021-12-19,2,True
67,2023-05-10,4,True
68,2023-08-15,1,False
69,2021-10-05,5,True
69,2022-10-05,2,True
70,2023-10-26,4,True
70,2024-10-25,3,False
71,2016-08-10,4,False
71,2017-08-10,4,True
72,2023-09-28,3,True
73,2019-09-16,4,True
73,2020-09-15,4,False
73,2021-09-15,3,True
73,2022-09-15,3,True
74,2024-03-21,3,False
75,2021-10-18,1,True
75,2022-10-18,2,True
75,2023-10-18,2,False
76,2020-03-19,5,False
76,2021-03-19,5,True
77,2023-11-21,3,False
77,2024-11-20,1,True
78,2020-02-08,5,False
78,2021-02-07,4,False
78,2022-02-07,1,True
79,2020-03-23,3,True
80,2017-09-30,3,False
80,2018-09-30,4,False
81,2020-01-07,1,True
81,2021-01-06,2,False
81,2022-01-06,5,True
82,2023-05-01,1,True
85,2019-06-16,1,True
85,2020-06-15,3,True
86,2025-03-17,2,False
87,2023-02-14,1,True
87,2024-02-14,5,False
87,2025-02-13,2,True
88,2019-11-18,1,True
89,2019-11-03,3,True
89,2020-11-02,2,True
90,2019-05-02,1,False
90,2020-05-01,5,True
91,2022-02-28,2,False
91,2023-02-28,1,True
91,2024-02-28,5,True
91,2025-02-27,4,True
92,2018-01-22,5,True
92,2019-01-22,4,False
92,2020-01-22,4,False
92,2021-01-21,4,True
93,2021-01-17,1,True
94,2019-03-22,2,True
94,2020-03-21,3,True
94,2021-03-21,1,False
96,2022-09-06,1,False
96,2023-09-06,2,False
96,2024-09-05,5,False
97,2017-12-17,5,False
98,2019-10-16,2,True
99,2020-03-09,1,False
99,2021-03-09,1,True
99,2022-03-09,5,True
99,2023-03-09,5,False
100,2021-06-25,3,False
100,2022-06-25,3,False
100,2023-06-25,5,False
101,2021-07-21,5,False
101,2022-07-21,3,False
102,2020-12-10,1,True
102,2021-12-10,4,False
102,2022-12-10,4,True
102,2023-12-10,2,False
103,2022-08-09,1,False
103,2023-08-09,2,False
103,2024-08-08,2,False
104,2017-12-20,1,True
104,2018-12-20,4,False
104,2019-12-20,4,True
104,2020-12-19,1,False
105,2020-03-22,4,True
105,2021-03-22,4,True
105,2022-03-22,2,False
106,2025-02-17,1,True
107,2017-04-04,2,False
107,2018-04-04,4,True
108,2020-02-02,3,False
108,2021-02-01,4,True
108,2022-02-01,4,False
109,2021-12-31,2,True
109,2022-12-31,3,True
110,2023-01-14,4,False
111,2024-09-19,3,True
112,2023-06-01,3,True
113,2023-02-18,5,True
113,2024-02-18,1,False
113,2025-02-17,5,False
114,2024-06-11,4,False
114,2025-06-11,4,True
115,2020-07-20,4,False
115,2021-07-20,4,False
115,2022-07-20,5,False
116,2024-12-05,2,False
117,2023-09-24,1,True
117,2024-09-23,3,True
118,2020-10-20,5,True
118,2021-10-20,4,True
118,2022-10-20,1,False
118,2023-10-20,5,True
119,2023-07-06,5,True
119,2024-07-05,2,False
120,2023-11-24,4,False
121,2023-11-27,3,True
121,2024-11-26,1,False
122,2023-02-04,4,True
123,2021-11-21,1,False
124,2022-01-07,2,True
124,2023-01-07,3,False
125,2024-12-27,5,True
126,2024-07-12,1,True
127,2017-01-30,5,False
127,2018-01-30,1,False
127,2019-01-30,3,False
127,2020-01-30,5,False
129,2022-04-28,5,False
129,2023-04-28,5,True
129,2024-04-27,3,True
130,2018-08-05,1,False
130,2019-08-05,1,True
131,2021-04-29,5,False
131,2022-04-29,3,False
131,2023-04-29,3,True
133,2021-01-13,4,True
134,2023-09-10,2,False
134,2024-09-09,4,True
135,2018-08-06,4,True
136,2017-06-21,2,False
137,2022-10-07,3,False
137,2023-10-07,2,False
137,2024-10-06,1,False
138,2019-07-17,5,False
138,2020-07-16,2,False
138,2021-07-16,5,True
139,2018-12-04,5,True
140,2019-03-20,4,True
141,2022-12-18,1,True
143,2021-04-18,1,False
143,2022-04-18,4,False
143,2023-04-18,2,True
143,2024-04-17,1,False
144,2020-04-11,2,False
144,2021-04-11,1,True
145,2021-02-26,4,False
146,2018-09-27,5,True
146,2019-09-27,1,False
146,2020-09-26,5,True
147,2020-11-17,4,True
147,2021-11-17,5,False
148,2025-05-19,3,False
149,2018-10-01,3,False
149,2019-10-01,2,True
150,2024-01-03,4,False
150,2025-01-02,2,True
151,2018-01-30,3,False
151,2019-01-30,1,False
153,2017-03-01,5,True
154,2018-05-27,5,True
154,2019-05-27,3,False
154,2020-05-26,4,True
156,2019-09-21,2,False
156,2020-09-20,1,True
157,2017-01-24,2,False
157,2018-01-24,3,False
157,2019-01-24,1,True
157,2020-01-24,5,False
158,2019-10-13,2,True
158,2020-10-12,3,False
158,2021-10-12,2,True
159,2023-07-27,1,False
159,2024-07-26,5,False
160,2020-04-07,5,True
160,2021-04-07,5,False
160,2022-04-07,3,False
161,2022-11-06,2,False
161,2023-11-06,1,True
161,2024-11-05,1,False
162,2021-10-22,2,False
162,2022-10-22,1,False
162,2023-10-22,4,True
162,2024-10-21,1,True
163,2021-05-08,5,False
163,2022-05-08,2,False
164,2019-04-11,1,False
164,2020-04-10,2,True
164,2021-04-10,4,True
164,2022-04-10,3,True
165,2018-06-08,3,True
165,2019-06-08,2,True
167,2023-06-15,5,True
168,2024-03-14,4,True
169,2017-05-09,2,False
169,2018-05-09,3,False
170,2022-11-26,1,True
171,2020-05-03,3,False
171,2021-05-03,2,False
171,2022-05-03,5,False
172,2019-06-01,1,True
172,2020-05-31,3,True
173,2024-01-09,1,False
173,2025-01-08,4,False
174,2018-08-25,1,True
174,2019-08-25,5,False
174,2020-08-24,1,False
175,2020-12-04,3,True
175,2021-12-04,5,False
175,2022-12-04,1,False
175,2023-12-04,4,False
176,2021-07-06,5,True
176,2022-07-06,2,False
177,2020-01-14,3,False
178,2021-09-12,3,False
178,2022-09-12,1,True
179,2025-04-27,4,True
180,2018-12-07,1,True
181,2022-11-21,4,False
181,2023-11-21,5,False
181,2024-11-20,2,True
182,2016-12-03,2,True
183,2020-09-04,4,False
183,2021-09-04,4,False
183,2022-09-04,5,True
183,2023-09-04,2,False
184,2017-09-18,2,False
184,2018-09-18,1,False
185,2021-04-22,1,True
188,2017-08-27,2,False
188,2018-08-27,2,False
188,2019-08-27,1,False
189,2024-08-22,2,True
190,2024-09-17,4,True
191,2017-12-29,3,True
191,2018-12-29,2,False
192,2023-03-19,4,False
192,2024-03-18,1,False
193,2023-04-12,5,False
193,2024-04-11,1,False
193,2025-04-11,3,False
194,2018-01-27,3,True
194,2019-01-27,5,True
195,2019-01-15,5,True
195,2020-01-15,5,False
