employee_id,exit_date,reason,voluntary_exit,satisfaction_rating
4,2019-10-08,Fired,False,2
9,2020-03-24,Layoff,False,1
10,2021-07-01,Resigned,True,4
11,2019-08-21,Fired,False,5
12,2022-09-19,Fired,False,5
14,2023-10-05,Fired,False,4
21,2024-06-15,Layoff,False,5
24,2017-11-11,Fired,False,3
29,2024-12-20,Resigned,True,5
33,2021-01-01,Fired,False,1
65,2020-08-19,Layoff,False,2
66,2019-11-28,Resigned,True,3
71,2020-12-11,Layoff,False,2
72,2024-03-15,Fired,False,1
76,2024-05-09,Layoff,False,1
79,2021-03-22,Fired,False,3
81,2020-09-16,Fired,False,2
91,2022-03-16,Fired,False,3
105,2022-07-30,Resigned,True,4
108,2022-10-21,Layoff,False,4
115,2021-03-16,Resigned,True,3
118,2025-02-19,Layoff,False,3
133,2024-02-01,Resigned,True,3
140,2019-12-20,Layoff,False,2
145,2023-07-28,Layoff,False,5
147,2021-10-15,Layoff,False,1
150,2025-03-11,Layoff,False,5
153,2020-11-21,Resigned,True,1
165,2019-11-27,Fired,False,5
170,2024-02-08,Fired,False,4
175,2021-11-10,Layoff,False,4
178,2025-05-09,Resigned,True,4
203,2022-01-05,Resigned,True,3
206,2022-05-28,Fired,False,5
220,2022-07-23,Fired,False,3
225,2022-03-26,Resigned,True,2
228,2025-04-24,Fired,False,1
241,2024-01-18,Layoff,False,2
257,2020-12-31,Fired,False,4
274,2022-06-17,Resigned,True,3
275,2022-01-12,Fired,False,5
283,2016-12-13,Fired,False,4
314,2019-07-28,Layoff,False,5
321,2024-09-04,Fired,False,5
329,2019-07-15,Resigned,True,2
343,2022-01-15,Layoff,False,3
361,2025-06-03,Fired,False,4
367,2022-06-27,Layoff,False,2
381,2017-05-19,Resigned,True,5
386,2020-02-08,Fired,False,1
393,2020-10-21,Retired,True,2
401,2018-12-16,Fired,False,4
407,2025-06-07,Resigned,True,1
408,2019-09-12,Fired,False,2
412,2023-11-15,Resigned,True,4
418,2023-09-27,Resigned,True,3
439,2023-06-27,Fired,False,5
445,2020-07-22,Layoff,False,5
464,2018-04-08,Resigned,True,5
486,2023-08-10,Layoff,False,4
488,2019-02-27,Fired,False,3
499,2019-02-28,Fired,False,4
501,2022-06-17,Resigned,True,2
502,2022-07-30,Fired,False,4
517,2023-02-17,Resigned,True,4
519,2022-08-06,Fired,False,4
523,2022-03-16,Resigned,True,1
524,2025-04-10,Layoff,False,5
536,2024-05-17,Resigned,True,2
542,2023-01-11,Layoff,False,5
544,2023-09-06,Resigned,True,4
545,2023-08-11,Layoff,False,1
548,2021-02-24,Resigned,True,3
549,2025-04-06,Layoff,False,5
550,2023-06-21,Fired,False,2
553,2023-11-12,Layoff,False,1
558,2023-10-22,Resigned,True,3
565,2025-05-24,Resigned,True,4
584,2018-02-24,Fired,False,2
588,2019-09-03,Resigned,True,4
601,2020-08-24,Layoff,False,3
602,2019-07-31,Fired,False,4
603,2024-10-28,Fired,False,2
630,2023-06-17,Resigned,True,3
651,2024-07-11,Layoff,False,4
657,2018-08-31,Resigned,True,2
680,2021-05-20,Fired,False,3
686,2022-02-26,Retired,True,5
698,2020-06-07,Layoff,False,5
708,2021-03-31,Resigned,True,5
712,2023-08-02,Fired,False,4
717,2023-04-01,Layoff,False,1
723,2021-12-27,Resigned,True,4
727,2021-05-19,Fired,False,2
737,2021-08-07,Layoff,False,3
738,2019-04-12,Resigned,True,5
746,2023-06-29,Retired,True,5
755,2024-04-05,Fired,False,3
768,2022-12-17,Fired,False,4
774,2019-01-17,Resigned,True,2
780,2021-04-26,Layoff,False,3
809,2024-01-20,Resigned,True,2
814,2023-10-16,Resigned,True,1
816,2022-08-15,Layoff,False,4
818,2024-07-26,Fired,False,2
821,2022-12-02,Resigned,True,1
826,2024-01-14,Layoff,False,1
832,2023-01-21,Fired,False,3
852,2021-08-05,Fired,False,3
870,2019-08-13,Fired,False,3
879,2024-09-27,Fired,False,4
895,2022-07-31,Fired,False,3
900,2022-02-18,Retired,True,3
912,2021-01-16,Resigned,True,2
915,2018-12-28,Fired,False,4
919,2024-04-12,Fired,False,4
926,2024-09-01,Layoff,False,1
932,2022-09-28,Fired,False,5
947,2023-03-14,Resigned,True,5
957,2023-05-01,Fired,False,2
967,2023-05-01,Resigned,True,3
969,2022-02-28,Resigned,True,4
979,2024-09-26,Retired,True,5
982,2023-08-21,Resigned,True,3
992,2018-10-30,Fired,False,1
1011,2021-06-07,Resigned,True,5
1015,2023-04-19,Layoff,False,2
1018,2025-01-20,Layoff,False,1
1020,2020-04-14,Layoff,False,4
1023,2025-06-02,Fired,False,1
1031,2022-01-18,Resigned,True,4
1035,2023-11-02,Resigned,True,2
1052,2022-11-11,Resigned,True,5
1070,2021-09-01,Resigned,True,4
1084,2018-11-27,Resigned,True,4
1098,2024-12-08,Layoff,False,4
1101,2019-12-04,Layoff,False,4
1115,2021-06-12,Resigned,True,2
1116,2023-03-12,Resigned,True,2
1125,2024-09-21,Layoff,False,5
1126,2021-08-08,Fired,False,3
1136,2022-02-20,Fired,False,3
1156,2022-03-12,Fired,False,1
1161,2020-06-20,Layoff,False,1
1162,2020-02-01,Resigned,True,2
1171,2018-06-10,Layoff,False,3
1173,2022-11-30,Resigned,True,4
1178,2020-01-10,Fired,False,3
1179,2024-10-22,Resigned,True,3
1196,2021-07-18,Layoff,False,4
1197,2022-07-21,Fired,False,4
1203,2017-10-30,Fired,False,4
1204,2023-09-13,Resigned,True,2
1205,2022-10-11,Resigned,True,3
1220,2024-04-22,Layoff,False,5
1234,2023-09-27,Fired,False,5
1239,2020-02-10,Layoff,False,1
1240,2025-07-30,Resigned,True,3
1246,2024-06-30,Resigned,True,3
1247,2021-02-25,Fired,False,1
1259,2020-02-09,Resigned,True,4
1270,2025-06-11,Fired,False,3
1272,2022-04-29,Resigned,True,1
1299,2022-11-05,Layoff,False,3
1305,2025-02-14,Fired,False,1
1308,2023-09-16,Resigned,True,1
1328,2024-08-31,Layoff,False,1
1333,2024-04-27,Layoff,False,4
1343,2018-10-03,Fired,False,4
1365,2022-04-30,Resigned,True,2
1369,2023-08-15,Fired,False,4
1372,2021-01-21,Resigned,True,4
1377,2024-03-30,Fired,False,4
1384,2020-02-21,Fired,False,1
1391,2021-07-29,Layoff,False,4
1392,2021-11-14,Fired,False,2
1394,2020-01-11,Layoff,False,3
1396,2023-04-10,Fired,False,4
